timestamp_utc,open,high,low,close
2018-05-30 12:00:00,1.32770,1.32963,1.32715,1.32888
2018-05-30 13:00:00,1.32885,1.33067,1.32825,1.32905
2018-05-30 14:00:00,1.32904,1.33001,1.32818,1.32951
2018-05-30 15:00:00,1.32950,1.32987,1.32678,1.32748
2018-05-30 16:00:00,1.32749,1.33009,1.32697,1.32944
2018-05-30 17:00:00,1.32937,1.33010,1.32736,1.32917
2018-05-30 18:00:00,1.32918,1.32942,1.32806,1.32841
2018-05-30 19:00:00,1.32842,1.32856,1.32703,1.32795
2018-05-30 20:00:00,1.32794,1.32841,1.32747,1.32841
2018-05-30 21:00:00,1.32840,1.32868,1.32798,1.32850
2018-05-30 22:00:00,1.32855,1.32881,1.32762,1.32836
2018-05-30 23:00:00,1.32833,1.32883,1.32821,1.32841
2018-05-31 00:00:00,1.32842,1.32878,1.32815,1.32836
2018-05-31 01:00:00,1.32835,1.32986,1.32771,1.32971
2018-05-31 02:00:00,1.32972,1.32982,1.32888,1.32937
2018-05-31 03:00:00,1.32936,1.33004,1.32923,1.32965
2018-05-31 04:00:00,1.32966,1.33118,1.32955,1.33045
2018-05-31 05:00:00,1.33046,1.33058,1.33002,1.33008
2018-05-31 06:00:00,1.33008,1.33214,1.32974,1.33165
2018-05-31 07:00:00,1.33163,1.33285,1.33034,1.33132
2018-05-31 08:00:00,1.33142,1.33380,1.33066,1.33309
2018-05-31 09:00:00,1.33306,1.33469,1.33246,1.33339
2018-05-31 10:00:00,1.33350,1.33408,1.33123,1.33376
2018-05-31 11:00:00,1.33377,1.33389,1.33136,1.33275
2018-05-31 12:00:00,1.33273,1.33480,1.33226,1.33453
2018-05-31 13:00:00,1.33455,1.33473,1.33165,1.33174
2018-05-31 14:00:00,1.33171,1.33192,1.32788,1.32925
2018-05-31 15:00:00,1.32924,1.33354,1.32909,1.33068
2018-05-31 16:00:00,1.33066,1.33092,1.32776,1.32871
2018-05-31 17:00:00,1.32870,1.32977,1.32824,1.32925
2018-05-31 18:00:00,1.32926,1.32984,1.32858,1.32883
2018-05-31 19:00:00,1.32884,1.33025,1.32851,1.32879
2018-05-31 20:00:00,1.32879,1.32946,1.32865,1.32915
